# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A4GALT	chr22|173 (-34009)
FANCI	chr15|360 (+87803)
FANCM	chr14|183 (+19851)
FAP	chr2|653 (-24956)
FARP1	chr13|395 (-170504)
FASLG	chr1|691 (-3157)
FASTKD1	chr2|682 (+55382)
FAT2	chr5|604 (+73504)
FAT4	chr4|503 (-612553), chr4|505 (-112553)
FAXDC2	chr5|617 (+105465)
FBL	chr19|162 (-37947)
FBLN1	chr22|184 (-23770)
FBLN5	chr14|370 (+39166)
FBLN7	chr2|452 (-20961)
FBN2	chr5|512 (+119877)
FBP1	chr9|390 (+27530)
FBP2	chr9|390 (-18926)
FBXL2	chr3|134 (+56087)
FBXL3	chr13|312 (-273716), chr13|311 (-23716)
FBXL4	chr6|398 (+20801)
FBXO11	chr2|194 (-242069), chr2|193 (+7931)
FBXO15	chr18|287 (+190099)
FBXO31	chr16|350 (+42362), chr16|349 (+292362), chr16|348 (+542362), chr16|347 (+792362)
FBXO33	chr14|160 (+26703)
FBXO38	chr5|592 (+111436)
FBXO40	chr3|486 (+63035)
FBXO7	chr22|132 (+4338), chr22|133 (+254338)
FBXW11	chr5|686 (+58643)
FBXW8	chr12|470 (+26240)
FCAMR	chr1|829 (+18944)
FCGBP	chr19|162 (+65532)
FCGR2A	chr1|646 (-100219)
FCGR2B	chr1|647 (-7950)
FCGR3B	chr1|647 (-24005)
FCHO1	chr19|72 (+16474)
FCHO2	chr5|289 (-126807)
FCHSD2	chr11|292 (-21695), chr11|291 (+228305)
FCRL5	chr1|629 (+397309)
FDXR	chr17|292 (-5845)
FECH	chr18|221 (+128885)
FEM1B	chr15|275 (+54860)
FEM1C	chr5|460 (+5590), chr5|459 (+255590)
FER	chr5|429 (-958522), chr5|431 (-458522), chr5|433 (+41478), chr5|435 (+541478)
FERMT2	chr14|214 (+42814)
FEZ1	chr11|502 (-8795)
FEZ2	chr2|148 (-49667)
FFAR2	chr19|144 (-64202)
FGF1	chr5|569 (-124094), chr5|568 (+125906)
FGF10	chr5|175 (+763898)
FGF14	chr13|413 (-70877)
FGF18	chr5|684 (+28341)
FGFBP3	chr10|375 (+44239)
FGGY	chr1|238 (-387652)
FGL2	chr7|308 (-45858)
FH	chr1|967 (+58060)
FHIT	chr3|245 (+112132)
FHL2	chr2|425 (-109320)
FHOD3	chr18|136 (-2676), chr18|137 (+247324), chr18|138 (+497324)
FICD	chr12|436 (-33961)
FIG4	chr6|441 (+112486)
FILIP1L	chr3|399 (+208356)
FIP1L1	chr4|218 (+131189)
FITM2	chr20|172 (+64808)
FJX1	chr11|143 (-14734)
FKTN	chr9|434 (+54590)
FLNB	chr3|232 (-119126), chr3|233 (+130874)
FMNL2	chr2|613 (-66750), chr2|614 (+183250)
FMOD	chr1|814 (-54384)
FN1	chr2|868 (-574106)
FNBP1L	chr1|376 (-38687), chr1|377 (+211313)
FNDC3A	chr13|198 (-175047), chr13|199 (+74953)
FNDC3B	chr3|687 (-133343), chr3|688 (+116657), chr3|689 (+366657)
FNDC9	chr5|628 (-102272)
FNIP1	chr5|525 (+7709)
FNIP2	chr4|640 (+184711), chr4|641 (+434711)
FNTA	chr8|172 (-36295)
FOLR4	chr11|376 (-163758), chr11|377 (+86242)
FOXA3	chr19|186 (+7483)
FOXB1	chr15|243 (+328580)
FOXE1	chr9|403 (+9465)
FOXE3	chr1|192 (-6743)
FOXF1	chr16|345 (-419132), chr16|346 (-169132)
FOXI1	chr5|678 (-157900), chr5|679 (+92100)
FOXJ1	chr17|297 (+12379)
FOXL1	chr16|347 (+12886), chr16|348 (+262886), chr16|349 (+512886), chr16|350 (+762886)
FOXL2	chr3|555 (+40981)
FOXN1	chr17|108 (+24042)
FOXN2	chr2|194 (-166848), chr2|195 (+83152)
FOXN3	chr14|362 (-289527), chr14|361 (-39527), chr14|360 (+210473), chr14|359 (+460473), chr14|358 (+710473)
FOXN4	chr12|439 (+122024)
FOXO1	chr13|164 (+365733)
FOXO3	chr6|435 (-257068), chr6|436 (-7068), chr6|437 (+242932), chr6|438 (+492932)
FOXO6	chr1|168 (+47407)
FOXP1	chr3|287 (-445013), chr3|286 (-195013), chr3|285 (+54987)
FOXR1	chr11|476 (+32584)
FOXR2	chrX|223 (-24832)
FPR3	chr19|210 (+76585)
FRA10AC1	chr10|382 (+87328)
FRAS1	chr4|316 (-103723)
FREM2	chr13|158 (+113735)
FREM3	chr4|579 (-3173)
FRG2C	chr3|302 (-338480)
FRK	chr6|466 (+6920), chr6|464 (+506920)
FRMD4B	chr3|278 (+60223)
FRMD5	chr15|177 (+362428)
FRMD6	chr14|209 (+6336)
FRMPD1	chr9|151 (-43001)
FRS2	chr12|280 (+10872)
FRZB	chr2|736 (-143111), chr2|735 (+106889)
FSCB	chr14|182 (-398519)
FSD1L	chr9|433 (-85382)
FSTL1	chr3|481 (+45099)
FSTL4	chr5|532 (+73254), chr5|531 (+323254)
FTCDNL1	chr2|803 (+90865)
FTSJD1	chr16|286 (-51489)
FTSJD2	chr6|150 (-25995)
FUBP1	chr1|314 (+69769)
FUNDC1	chrX|178 (+27246)
FURIN	chr15|366 (-36821)
FUT8	chr14|263 (-252309), chr14|264 (-2309)
FUT9	chr6|385 (-338859), chr6|388 (+411141)
FXYD3	chr19|143 (+17835)
FXYD4	chr10|176 (+7911)
FYN	chr6|449 (+69654)
FZD4	chr11|347 (+41432)
FZD5	chr2|836 (-240714), chr2|835 (+9286)
FZD6	chr8|418 (+63942)
FZD7	chr2|812 (-24309)
FZD9	chr7|292 (+26892)
G3BP1	chr5|605 (-26470)
G3BP2	chr4|307 (-25848)
G6PC3	chr17|169 (-23102)
GAB1	chr4|577 (-132914), chr4|578 (+117086)
GAB2	chr11|313 (+3851)
GABBR2	chr9|406 (+96478), chr9|405 (+346478)
GABRB1	chr4|190 (+341624)
GABRR1	chr6|360 (+52151)
GAD1	chr2|687 (-48071)
GADD45A	chr1|273 (-25743)
GADD45G	chr9|369 (-94927), chr9|370 (+155073)
GALM	chr2|156 (-18051)
GALNT1	chr18|133 (-109523), chr18|134 (+140477), chr18|135 (+390477)
GALNT10	chr5|615 (+54711)
GALNT11	chr7|609 (+353618)
GALNT12	chr9|407 (+55020)
GALNT14	chr2|126 (-13988)
GALNT2	chr1|920 (-327955), chr1|921 (-77955), chr1|922 (+172045)
GALNT5	chr2|630 (-739109)
GALNT7	chr4|697 (+35097)
GALNTL5	chr7|607 (-28479)
GALR1	chr18|300 (-87504), chr18|301 (+162496)
GAN	chr16|326 (+26444)
GAPVD1	chr9|513 (+100890), chr9|514 (+350890)
GAREM	chr18|121 (-74606)
GARNL3	chr9|521 (+98196)
GAST	chr17|160 (+6423)
GATA1	chrX|195 (-19961)
GATA6	chr18|78 (-374403), chr18|79 (-124403)
GATAD2B	chr1|616 (+20450)
GCC1	chr7|509 (+100660)
GCC2	chr2|437 (+59984)
GCFC2	chr2|304 (+63114)
GCH1	chr14|222 (-5431), chr14|221 (+244569)
GCLC	chr6|214 (+34926)
GCLM	chr1|378 (-35)
GCM1	chr6|213 (-111374)
GCNT3	chr15|240 (-28982)
GCOM1	chr15|232 (-9105)
GCSAM	chr3|448 (-22900)
GCSH	chr16|325 (+5007)
GDAP1	chr8|302 (+112384)
GDF6	chr8|389 (+48019), chr8|388 (+298019), chr8|386 (+798019)
GDF7	chr2|84 (+8577), chr2|85 (+258577)
GDPD1	chr17|230 (+77167)
GDPD2	chrX|279 (-17880)
GDPD4	chr11|309 (-126538), chr11|308 (+123462)
GDPD5	chr11|301 (+111947)
GEMIN2	chr14|159 (+41574)
GFI1	chr1|372 (+74510)
GFM1	chr3|634 (+12934)
GFPT1	chr2|279 (-10619)
GFPT2	chr5|720 (-94614)
GFRA3	chr5|551 (-14641)
GGACT	chr13|405 (+111250), chr13|404 (+361250)
GGH	chr8|256 (+76729)
GGN	chr19|156 (+3665)
GGT1	chr22|101 (+125833)
GHDC	chr17|162 (-28788)
GHITM	chr10|344 (-24195)
GHSR	chr3|689 (+41245), chr3|688 (+291245)
GIMAP2	chr7|602 (-7787)
GIMAP6	chr7|602 (-45528)
GIMAP8	chr7|601 (-22717)
GIN1	chr5|410 (+80854)
GINS3	chr16|234 (-51297)
GINS4	chr8|166 (-11724)
GIPC1	chr19|59 (-18057)
GIT2	chr12|442 (+59028)
GJA1	chr6|491 (+868163)
GJA10	chr6|363 (+20813), chr6|364 (+270813)
GJB1	chrX|282 (-60061)
GK5	chr3|569 (-180552), chr3|568 (+69448)
GKAP1	chr9|346 (+57656)
GLCE	chr15|278 (-77972)
GLG1	chr16|299 (+16011)
GLI2	chr2|485 (-424984), chr2|486 (-174984), chr2|488 (+325016)
GLIPR1	chr12|304 (+541)
GLMN	chr1|372 (-110468)
GLO1	chr6|155 (+45916)
GLRX	chr5|381 (+33417)
GLRX5	chr14|385 (+124071)
GLS	chr2|767 (-120552), chr2|768 (+129448)
GLTSCR1	chr19|193 (+13548)
GLUD1	chr10|356 (-20378)
GLUD2	chrX|480 (-306461)
GLUL	chr1|729 (+236340)
GM2A	chr5|603 (-7452)
GMPS	chr3|623 (+36676)
GNA13	chr17|253 (-72044)
GNAI3	chr1|441 (+33768)
GNAO1	chr16|226 (+149113)
GNAS	chr20|230 (-52768)
GNAT2	chr1|441 (+30678)
GNB1L	chr22|80 (-32539)
GNB4	chr3|717 (+44377)
GNG10	chr9|459 (+201386)
GNG2	chr14|209 (-202131), chr14|210 (+47869)
GNL3L	chrX|219 (+68357)
GNPAT	chr1|926 (-1955)
GNPDA1	chr5|566 (+17358)
GNPNAT1	chr14|214 (-116682)
GNRHR	chr4|275 (-4923)
GNS	chr12|261 (+28226)
GOLGA1	chr9|512 (-171623)
GOLGA3	chr12|534 (+30287)
GOLGA4	chr3|150 (+90258)
GOLGA5	chr14|374 (+114425)
GOLGA6B	chr15|292 (-72078)
GOLGA6C	chr15|302 (-175939)
GOLGA7	chr8|166 (+26828)
GOLIM4	chr3|672 (-61238)
GOLM1	chr9|356 (-160528), chr9|355 (+89472)
GOLPH3L	chr1|603 (+44499)
GOPC	chr6|472 (+48526)
GORASP1	chr3|157 (+24853)
GORASP2	chr2|688 (+89965)
GPATCH11	chr2|150 (+63407)
GPATCH2L	chr14|307 (+6722)
GPBAR1	chr2|877 (-737)
GPBP1	chr5|226 (-134947)
GPBP1L1	chr1|185 (+27301)
GPC5	chr13|371 (+574072)
GPC6	chr13|378 (+495906)
GPD1L	chr3|129 (-23002)
GPD2	chr2|630 (+83048)
GPHN	chr14|271 (+650876)
GPI	chr19|140 (+19356)
GPR1	chr2|829 (-42253)
GPR107	chr9|532 (+59296)
GPR111	chr6|191 (+778)
GPR114	chr16|231 (+48400)
GPR124	chr8|151 (-29773)
GPR128	chr3|402 (+46568)
GPR133	chr12|526 (-63451), chr12|529 (+686549)
GPR135	chr14|240 (+57059)
GPR137B	chr1|946 (+69169)
GPR137C	chr14|213 (+105135)
GPR142	chr17|290 (+11404)
GPR149	chr3|617 (+22503)
GPR151	chr5|584 (+20752)
GPR155	chr2|702 (-23193)
GPR156	chr3|481 (-121060), chr3|480 (+128940)
GPR160	chr3|680 (+119284)
GPR161	chr1|673 (-18465)
GPR17	chr2|514 (-28438)
GPR171	chr3|604 (+45978)
GPR18	chr13|400 (+38997)
GPR182	chr12|230 (-13229)
GPR183	chr13|401 (-165342)
GPR21	chr9|504 (+78195)
GPR22	chr7|428 (-235504), chr7|429 (+14496)
GPR25	chr1|804 (+32918)
GPR39	chr2|530 (-799146)
GPR4	chr19|185 (-19535)
GPR42	chr19|144 (+13170)
GPR45	chr2|424 (+16801)
GPR52	chr1|700 (+457789)
GPR56	chr16|231 (-37418)
GPR6	chr6|441 (-175297), chr6|442 (+74703)
GPR68	chr14|368 (-154732), chr14|367 (+95268)
GPR83	chr11|377 (+9584)
GPR88	chr1|404 (-128692)
GPR98	chr5|360 (+20384), chr5|362 (+520384), chr5|363 (+770384)
GPRASP1	chrX|408 (-31328)
GPRC5C	chr17|290 (-52051)
GPRC6A	chr6|469 (+25197)
GPT2	chr16|188 (-43289)
GPX3	chr5|602 (-25123)
GRAMD1C	chr3|455 (+67736)
GRAMD3	chr5|503 (-70823), chr5|504 (+179177)
GRAMD4	chr22|189 (+108702)
GRAP2	chr22|161 (-172085), chr22|162 (+77915)
GRASP	chr12|210 (-25723)
GRB2	chr17|294 (+26566)
GREB1L	chr18|77 (+181447)
GRIA1	chr5|614 (+503269)
GRID1	chr10|353 (+1234)
GRIK2	chr6|406 (-471663)
GRIK3	chr1|152 (-375275)
GRIK4	chr11|482 (-7467)
GRIP1	chr12|271 (-552248)
GRP	chr18|228 (-12399)
GRSF1	chr4|287 (+80661)
GSAP	chr7|309 (-79284), chr7|308 (+170716)
GSE1	chr16|341 (-521821), chr16|342 (-271821), chr16|343 (-21821)
GSG1L	chr16|113 (-50171), chr16|112 (+199829), chr16|111 (+449829)
GSK3B	chr3|480 (-62488)
GSN	chr9|497 (+62930)
GSR	chr8|123 (-39558)
GSTA2	chr6|211 (+3366)
GSTA4	chr6|212 (-14825)
GSTCD	chr4|427 (-4974)
GSTT1	chr22|98 (+9283)
GSTT2	chr22|98 (+52662)
GTDC2	chr3|173 (+22567)
GTF2A1	chr14|328 (-187735), chr14|327 (+62265)
GTF2A1L	chr2|196 (+30024)
GTF2F2	chr13|183 (-69649)
GTF2H3	chr12|497 (+6625)
GTF3C3	chr2|791 (+39424)
GTPBP1	chr22|157 (+23273)
GTSF1	chr12|220 (-8590)
GTSF1L	chr20|170 (-19363)
GUCA2A	chr1|171 (+5388)
GUCA2B	chr1|171 (+5909)
GUCY1A3	chr4|626 (-213349)
GUSB	chr7|262 (+72300)
GXYLT1	chr12|171 (-86320)
GYG1	chr3|595 (-84127)
GYPB	chr4|580 (+65491)
GYPC	chr2|510 (-38508)
GYPE	chr4|580 (-48289)
GZF1	chr20|94 (+32182)
H1F0	chr22|153 (-76113)
H1FNT	chr12|195 (-97762)
H1FX	chr3|517 (-89881)
H2AFV	chr7|180 (+12661)
H2AFY	chr5|539 (+110311), chr5|538 (+360311)
H2AFY2	chr10|287 (-187551), chr10|288 (+62449)
H2AFZ	chr4|404 (-3456)
HAAO	chr2|173 (-105269)
HABP4	chr9|398 (+162514)
HACE1	chr6|422 (-67207)
HADH	chr4|436 (-35869)
HAL	chr12|386 (+15142)
HAND1	chr5|616 (-17177)
HAP1	chr17|160 (+15895)
HAPLN3	chr15|358 (+63856)
HAPLN4	chr19|78 (-1396)
HARBI1	chr11|187 (+13776)
HAS3	chr16|277 (-16442)
HBP1	chr7|428 (+65541)
HCAR2	chr12|493 (+62889)
HCK	chr20|123 (-15063)
HCLS1	chr3|486 (+4757)
HDAC2	chr6|458 (-82552)
HDAC8	chrX|288 (-82048)
HDDC2	chr6|504 (-251719), chr6|503 (-1719)
HDHD2	chr18|179 (+51890)
HDHD3	chr9|465 (+13454)
HEBP2	chr6|555 (-100355)
HECA	chr6|558 (-81248)
HECTD2	chr10|373 (-45101), chr10|374 (+204899)
HECTD4	chr12|451 (+194895)
HECW2	chr2|791 (-167666), chr2|790 (+82334), chr2|789 (+332334)
HEG1	chr3|500 (-100199)
HELB	chr12|267 (-71324)
HELLS	chr10|386 (+69427)
HELQ	chr4|338 (+2008)
HELZ	chr17|261 (+116298)
HEPHL1	chr11|375 (-129526)
HERC5	chr4|358 (-3267)
HEXA	chr15|291 (+43816)
HEXDC	chr17|322 (-1193)
HEY1	chr8|324 (-194909), chr8|323 (+55091)
HEY2	chr6|504 (-195725)
HEYL	chr1|161 (-19384)
HFE2	chr1|582 (-38277)
HFM1	chr1|368 (-4575)
HGD	chr3|482 (+26417)
HHAT	chr1|841 (-377249)
HHEX	chr10|378 (-72944)
HHIPL2	chr1|891 (+96444)
HIATL1	chr9|389 (-11832)
HIATL2	chr9|399 (+150861)
HIBCH	chr2|765 (+59770)
HIF1A	chr14|248 (-289339), chr14|249 (-39339)
HINT1	chr5|522 (+126177)
HINT3	chr6|505 (-152926)
HIPK2	chr7|558 (+102516)
HIPK4	chr19|164 (+21093)
HIST3H2A	chr1|915 (+20559)
HIST3H3	chr1|915 (-11975)
HIVEP2	chr6|574 (-108663)
HIVEP3	chr1|170 (+9168), chr1|169 (+259168)
HK1	chr10|285 (+76501)
HK2	chr2|301 (+63893)
HLCS	chr21|153 (+213772)
HM13	chr20|121 (+22770)
HMCN1	chr1|742 (-328682)
HMG20A	chr15|312 (+161985)
HMGB2	chr4|697 (+131275)
HMGCS1	chr5|174 (-61406)
HMGN3	chr6|321 (-180595), chr6|320 (+69405)
HMGXB3	chr5|598 (-5280)
HMGXB4	chr22|143 (-28490)
HNF1A	chr12|486 (-41345)
HNF4G	chr8|306 (-77103)
HNRNPA0	chr5|549 (-34962)
HNRNPA1L2	chr13|213 (-66604)
HNRNPA3	chr2|711 (-452290), chr2|712 (-202290), chr2|713 (+47710)
HNRNPD	chr4|333 (+170108)
HNRNPF	chr10|176 (+17278)
HNRNPLL	chr2|156 (-44830)
HNRNPU	chr1|981 (-97228)
HOMER1	chr5|316 (-64961), chr5|315 (+185039)
HOMER2	chr15|335 (-3521)
HOMER3	chr19|77 (-74557)
HOOK2	chr19|52 (+11336)
HOPX	chr4|231 (-77129), chr4|230 (+172871)
HORMAD2	chr22|123 (+148838)
HOXB13	chr17|188 (-68461)
HOXB2	chr17|187 (-1560)
HOXC10	chr12|218 (-3969)
HOXD1	chr2|709 (+71694)
HOXD10	chr2|708 (-106306)
HOXD11	chr2|708 (-97013)
HOXD12	chr2|708 (-89457)
HOXD13	chr2|708 (-82618)
HPS3	chr3|596 (+27630)
HPS4	chr22|108 (+4777)
HRASLS2	chr11|254 (-44146)
HRC	chr19|199 (+33680)
HRH4	chr18|89 (+84408)
HRSP12	chr8|397 (+4468)
HS2ST1	chr1|350 (-5356)
HS3ST4	chr16|102 (-328346)
HS3ST5	chr6|458 (+289208)
HS6ST1	chr2|517 (-48850), chr2|516 (+201150)
HS6ST3	chr13|389 (+381908), chr13|391 (+881908)
HSBP1	chr16|336 (+33553)
HSD11B1	chr1|840 (+15491)
HSD17B10	chrX|215 (-163681)
HSD17B12	chr11|174 (-327258), chr11|176 (+172742)
HSD17B2	chr16|329 (+56164)
HSD17B3	chr9|397 (-60567), chr9|396 (+189433)
HSD17B4	chr5|476 (+86736)
HSD17B7	chr1|651 (-135535)
HSDL2	chr9|461 (-17216), chr9|462 (+232784)
HSF2	chr6|491 (-95690), chr6|492 (+154310)
HSP90AA1	chr14|411 (-18978)
HSPA4	chr5|530 (-12653), chr5|531 (+237347), chr5|532 (+487347)
HSPA8	chr11|492 (+58042)
HSPB1	chr7|304 (-56860)
HSPB11	chr1|218 (+36601)
HSPB3	chr5|215 (-126444)
HSPH1	chr13|127 (+111063)
HTR2A	chr13|194 (-904828)
HTR2B	chr2|929 (-135169)
HTR4	chr5|593 (-91285), chr5|592 (+158715)
HTR5A	chr7|620 (+12967)
HTR7	chr10|371 (-7546)
HUNK	chr21|133 (-120627), chr21|135 (+379373)
HUWE1	chrX|215 (+86113)
HVCN1	chr12|445 (+1513)
HYDIN	chr16|284 (+389591)
HYI	chr1|176 (+44659)
IARS2	chr1|882 (+107546)
IBA57	chr1|914 (+21485)
IBSP	chr4|355 (-95732)
ICA1L	chr2|815 (+111364), chr2|814 (+361364)
ICAM1	chr19|42 (-6510)
ICAM2	chr17|249 (-27007)
ICK	chr6|212 (+51599)
ICOSLG	chr21|183 (+35827)
ID1	chr20|121 (-68085)
IDE	chr10|377 (+208832)
IDH1	chr2|837 (-5955)
IDH2	chr15|363 (+20735)
IER2	chr19|54 (+112212)
IFIH1	chr2|653 (+50212)
IFNAR2	chr21|139 (+22722)
IFRD1	chr7|448 (-215482)
IFT27	chr22|149 (+47171)
IFT80	chr3|641 (-7681)
IGBP1	chrX|278 (+21702)
IGF1R	chr15|397 (-67199), chr15|398 (+182801)
IGF2BP1	chr17|189 (+50227)
IGF2BP2	chr3|743 (-82157)
IGFBP2	chr2|870 (-123117)
IGFBP4	chr17|155 (+25288)
IGFBP7	chr4|232 (+101550)
IGSF10	chr3|605 (+51496)
IGSF11	chr3|476 (-121266)
IGSF23	chr19|181 (+8061)
IGSF5	chr21|165 (+7667)
IGSF6	chr16|87 (+38980)
IKBKE	chr1|827 (-18790)
IL10	chr1|828 (+70838)
IL10RA	chr11|472 (+17938)
IL10RB	chr21|139 (-13662)
IL11	chr19|224 (+6740)
IL12A	chr3|639 (-81536), chr3|640 (+168464)
IL12B	chr5|636 (-117106)
IL12RB2	chr1|272 (+101954)
IL13RA1	chrX|472 (+13466)
IL16	chr15|326 (-142740)
IL17B	chr5|596 (-116162)
IL17F	chr6|209 (-15666)
IL17RD	chr3|229 (+74402)
IL1B	chr2|455 (-30521)
IL1RN	chr2|456 (-473)
IL20RB	chr3|547 (-51706), chr3|550 (+698294)
IL21	chr4|495 (-82777)
IL21R	chr16|110 (-38482)
IL22	chr12|275 (+22386)
IL23R	chr1|271 (-7082)
IL26	chr12|275 (-5400)
IL3	chr5|526 (-21221)
IL34	chr16|283 (+11203)
IL37	chr2|455 (-45547)
IL4R	chr16|110 (+49767)
IL5	chr5|528 (+4213)
IL6R	chr1|618 (-2668)
ILDR1	chr3|487 (+116050)
IMMP2L	chr7|445 (+77346)
IMMT	chr2|346 (+47892)
IMPAD1	chr8|232 (+31402)
IMPG2	chr3|405 (-85597)
INHBB	chr2|485 (+21282), chr2|486 (+271282)
INIP	chr9|462 (+105515)
INO80C	chr18|133 (-47094)
INO80D	chr2|828 (+75905), chr2|827 (+325905)
INPP4A	chr2|397 (+63680)
INPP4B	chr4|576 (-107558)
INPP5B	chr1|154 (+37722)
INPP5D	chr2|937 (+199812)
INSIG1	chr7|620 (-214485), chr7|621 (+35515)
INSIG2	chr2|475 (-221049), chr2|476 (+28951)
INSL5	chr1|270 (-108062)
INSM1	chr20|81 (-223764)
INTS2	chr17|241 (-119624)
INTS4	chr11|311 (+80723)
INTS6	chr13|209 (-97867)
INTS7	chr1|849 (+83883)
INTS8	chr8|384 (+39474)
INTU	chr4|515 (+70914)
INVS	chr9|412 (+13463)
IPO5	chr13|393 (-480928), chr13|395 (+19072)
IPO9	chr1|807 (-173268)
IPPK	chr9|382 (+57546)
IQCJ-SCHIP1	chr3|635 (-162052)
IQSEC2	chrX|214 (-24479)
IQUB	chr7|493 (+48001)
IRAK1BP1	chr6|319 (+47812)
IRAK3	chr12|267 (+42342)
IRF1	chr5|528 (-48511)
IRF2	chr4|742 (+20733)
IRF2BP1	chr19|186 (+14375)
IRF2BP2	chr1|941 (-379730), chr1|940 (-129730), chr1|939 (+120270)
IRF2BPL	chr14|310 (+120033)
IRF5	chr7|515 (+47007)
IRF8	chr16|344 (-57408), chr16|345 (+192592), chr16|346 (+442592)
IRS4	chrX|432 (+104650)
ISCA1	chr9|356 (+22443)
ISL2	chr15|307 (-4064)
ISOC1	chr5|514 (-55443)
ISX	chr22|143 (+162872)
ISYNA1	chr19|75 (-75890)
ITGA11	chr15|275 (+99491)
ITGA2	chr5|210 (+89845)
ITGA3	chr17|193 (-8803)
ITGA6	chr2|693 (-167516), chr2|694 (+82484)
ITGA9	chr3|152 (+381391)
ITGAD	chr16|126 (-29632)
ITGAV	chr2|750 (-79791)
ITGAX	chr16|126 (+8546)
ITGB3BP	chr1|256 (+113864)
ITGB6	chr2|645 (-68189)
ITGB7	chr12|215 (-23910)
ITIH6	chrX|219 (+199672)
ITK	chr5|627 (+17164)
ITLN1	chr1|644 (-20041)
ITLN2	chr1|644 (+49588)
ITM2C	chr2|927 (-104614)
ITPK1	chr14|375 (-42853)
ITPKB	chr1|908 (+51863)
ITPRIP	chr10|425 (-31338)
ITSN1	chr21|141 (+110237)
IVNS1ABP	chr1|742 (-88540)
IZUMO2	chr19|203 (+41451)
JAK1	chr1|262 (+57186)
JHDM1D	chr7|560 (+1834)
JMJD1C	chr10|261 (+100640)
JMY	chr5|315 (+92989)
JPH1	chr8|301 (+108562)
JPH2	chr20|172 (-58783)
JPH3	chr16|351 (-11510)
JRKL	chr11|385 (+1843)
JUN	chr1|238 (-125216)
KALRN	chr3|498 (+561473)
KANSL3	chr2|390 (-70955)
KAT6A	chr8|168 (+34504)
KAT7	chr17|192 (+9084)
KAT8	chr16|125 (-3984)
KBTBD8	chr3|267 (-423730), chr3|271 (+576270)
KCNAB1	chr3|623 (-213336), chr3|625 (+286664)
KCNB1	chr20|193 (-25817)
KCNB2	chr8|293 (-324625), chr8|296 (+425375)
KCNC2	chr12|300 (+728647)
KCNC4	chr1|444 (+120906)
KCND3	chr1|452 (-343224)
KCNE1	chr21|144 (+8612)
KCNE1L	chrX|436 (-6608)
KCNE2	chr21|143 (-111322)
KCNE3	chr11|297 (+53672)
KCNG1	chr20|201 (-485335), chr20|200 (-235335), chr20|199 (+14665)
KCNG2	chr18|311 (+1333)
KCNG3	chr2|171 (+96236)
KCNH1	chr1|846 (-67686)
KCNIP1	chr5|680 (-56576)
KCNJ15	chr21|159 (-19344), chr21|160 (+230656)
KCNJ6	chr21|158 (-86252), chr21|157 (+163748), chr21|156 (+413748)
KCNK1	chr1|935 (-124749), chr1|936 (+125251)
KCNK12	chr2|192 (-76923)
KCNK13	chr14|363 (+96892)
KCNK15	chr20|174 (+580)
KCNK2	chr1|860 (-381578), chr1|863 (+368422)
KCNMA1	chr10|319 (-227601), chr10|318 (+22399), chr10|317 (+272399)
KCNMB1	chr5|680 (-58320)
KCNMB4	chr12|284 (+114945)
KCNN2	chr5|452 (-821641)
KCNQ5	chr6|293 (-206519), chr6|294 (+43481)
KCNRG	chr13|203 (+35611)
KCTD1	chr18|97 (+4398), chr18|96 (+254398)
KCTD10	chr12|440 (+40348)
KCTD12	chr13|310 (+85524)
KCTD15	chr19|139 (+335710)
KCTD16	chr5|575 (+40161)
KCTD18	chr2|806 (-215)
KCTD19	chr16|270 (-14335)
KCTD21	chr11|312 (+24867)
KCTD3	chr1|863 (-115734)
KCTD7	chr7|264 (-330642), chr7|265 (-80642)
KDELC1	chr13|414 (+76356)
KDELC2	chr11|434 (-5842), chr11|433 (+244158)
KDELR1	chr19|196 (+19809)
KDELR3	chr22|156 (+10918)
KDM2B	chr12|488 (+143888)
KDM3A	chr2|347 (-42923)
KDM4A	chr1|177 (+9172)
KDM5B	chr1|811 (+153597)
KDM8	chr16|109 (-90295)
KDR	chr4|225 (-133245)
KEAP1	chr19|43 (-10584)
KHDC1	chr6|294 (+644937)
KIAA0226	chr3|790 (+88589)
KIAA0247	chr14|281 (+46688)
KIAA0319	chr6|99 (+21382)
KIAA0513	chr16|341 (+28183), chr16|342 (+278183), chr16|343 (+528183)
KIAA0556	chr16|111 (+63528), chr16|112 (+313528)
KIAA0586	chr14|236 (-19102)
KIAA1009	chr6|342 (-437648), chr6|340 (+62352)
KIAA1024	chr15|319 (-99857), chr15|320 (+150143), chr15|321 (+400143)
KIAA1033	chr12|423 (+123509)
KIAA1109	chr4|493 (+51513)
KIAA1199	chr15|325 (+53289)
KIAA1429	chr8|383 (-59250)
KIAA1549	chr7|555 (+41063)
KIAA1586	chr6|227 (-286346), chr6|228 (-36346)
KIAA1644	chr22|180 (-166270), chr22|179 (+83730)
KIAA1683	chr19|74 (+10318)
KIAA1715	chr2|708 (-7928)
KIAA1731	chr11|374 (-19804)
KIAA1841	chr2|246 (+81933)
KIAA1919	chr6|447 (+44450)
KIAA2018	chr3|454 (+40492)
KIAA2022	chrX|298 (-229681), chrX|296 (+270319)
KIF11	chr10|378 (+21958)
KIF12	chr9|468 (-13664)
KIF14	chr1|803 (-35139)
KIF15	chr3|180 (+71792)
