# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|50	TNFRSF1B (+147941), DHRS3 (+302736)
chr6|356	CNR1 (-14119), RNGTT (+798314)
chr6|482	MAN1A1 (-704075)
chr6|483	MAN1A1 (-954075)
chr6|484	TBC1D32 (+780625)
chr6|486	TBC1D32 (+280625)
chr6|495	CLVS2 (+307885), TRDN (+332941)
chr6|500	RNF217 (-429513), NKAIN2 (+749715)
chr6|501	RNF217 (-179513), NKAIN2 (+999715)
chr6|508	RSPO3 (-564748), CENPW (+213681)
chr6|509	RSPO3 (-314748), CENPW (+463681)
chr6|519	ARHGAP18 (+406369), LAMA2 (+420659)
chr6|562	CITED2 (-679244)
chr6|564	NONE
chr6|565	NONE
chr6|566	NONE
chr6|568	NMBR (+534935)
chr6|569	NMBR (+284935)
chr6|580	UTRN (+262036)
chr6|583	EPM2A (+432159)
chr6|587	RAB32 (-239828), GRM1 (+276219)
chr6|615	OPRM1 (-706635), ENSG00000213121 (+72546)
chr6|616	OPRM1 (-456635), ENSG00000213121 (+322546)
chr6|617	OPRM1 (-206635), ENSG00000213121 (+572546)
chr6|618	OPRM1 (+43365), IPCEF1 (+276214)
chr6|622	CLDN20 (-210146), TIAM2 (+221170)
chr6|623	TFB1M (+10617), CLDN20 (+39854)
chr6|624	NOX3 (-97964)
chr6|625	ARID1B (-974062), NOX3 (-347964)
chr6|626	ARID1B (-724062), NOX3 (-597964)
chr6|627	NOX3 (-847964), ARID1B (-474062)
chr6|628	ARID1B (-224062)
chr6|630	ARID1B (+275938), TMEM242 (+369632)
chr6|631	TMEM242 (+119632), ARID1B (+525938)
chr6|639	FNDC1 (+34572), SOD2 (+489359)
chr6|640	SOD2 (+239359), FNDC1 (+284572)
chr6|641	WTAP (-21616), SOD2 (-10641)
chr6|642	IGF2R (-15130), MAS1 (+47027)
chr6|643	SLC22A2 (+55047), SLC22A1 (+82180)
chr6|644	SLC22A3 (+105701), LPA (+212406)
chr6|645	MAP3K4 (-287815), PLG (+1727)
chr6|646	MAP3K4 (-37815), PLG (+251727)
chr6|647	AGPAT4 (+70092), MAP3K4 (+212185)
chr6|648	AGPAT4 (-179908)
chr6|649	AGPAT4 (-429908)
chr6|650	PACRG (-773163), AGPAT4 (-679908)
chr6|651	AGPAT4 (-929908), PACRG (-523163)
chr6|652	PACRG (-273163)
chr6|653	PACRG (-23163)
chr6|654	QKI (-460674), PARK2 (-226198)
chr6|655	PARK2 (-476198), QKI (-210674)
chr6|656	QKI (+39326)
chr6|657	QKI (+289326)
chr6|658	QKI (+539326)
chr6|659	QKI (+789326)
chr6|660	NONE
chr6|661	PDE10A (+950556)
chr6|662	PDE10A (+700556)
chr6|663	PDE10A (+450556)
chr6|664	PDE10A (+200556)
chr6|665	PDE10A (-49444), SDIM1 (+184724)
chr6|666	SDIM1 (-65276), T (+207106)
chr6|667	T (-42894), SFT2D1 (+131078)
chr6|669	MPC1 (-328515), RPS6KA2 (+151038)
chr6|671	UNC93A (-79802), GPR31 (-53184)
chr6|672	TCP10 (-77047), C6orf123 (+322538)
chr6|674	KIF25 (-24771), MLLT4 (+147330)
chr6|675	FRMD1 (-145162), DACT2 (+95401)
chr6|676	SMOC2 (+33170), THBS2 (+779138)
chr6|677	SMOC2 (+283170), THBS2 (+529138)
chr6|678	THBS2 (+279138), SMOC2 (+533170)
chr6|679	THBS2 (+29138), SMOC2 (+783170)
chr6|680	C6orf120 (-227256), THBS2 (-220862)
chr7|22	SLC29A4 (+52440), TNRC18 (+88176)
chr7|23	ACTB (-54661), FSCN1 (-7453)
chr7|24	RNF216 (-53631), OCM (-45428)
chr7|25	EIF2AK1 (-26140), USP42 (-19514)
chr7|26	CYTH3 (-62726), FAM220A (+13589)
chr7|27	ZNF853 (-30247), ZDHHC4 (+7865)
chr7|28	C1GALT1 (-347245), CCZ1B (-8600)
chr7|29	CCZ1B (-258600), C1GALT1 (-97245)
chr7|31	MIOS (+18498), RPA3 (+133237)
chr7|33	GLCCI1 (+116576), ICA1 (+176910)
chr7|34	NXPH1 (-98584), ICA1 (-73090)
chr7|44	NDUFA4 (+104882)
chr7|45	PHF14 (+111502), THSD7A (+746823)
chr7|50	VWDE (+68530), TMEM106B (+124075)
chr7|51	ARL4A (-101960), SCIN (+14689)
chr7|57	ETV1 (-95430), DGKB (+817985)
chr7|66	MEOX2 (-648564), ISPD (+85946)
chr7|67	SOSTDC1 (-119527), ANKMY2 (+60441)
chr7|68	AGR2 (-30297), AGR3 (+46610)
chr7|70	AHR (+36755), SNX13 (+605116)
chr7|72	SNX13 (+105116), AHR (+536755)
chr7|73	HDAC9 (-410925), PRPS1L1 (-57515)
chr7|74	PRPS1L1 (-307515), HDAC9 (-160925)
chr7|79	FERD3L (-439957), TWISTNB (+123709)
chr7|82	ABCB5 (-279829), ITGB8 (+4255)
chr7|84	SP4 (-592651), SP8 (-48496)
chr7|86	SP8 (-548496), SP4 (-92651)
chr7|87	DNAH11 (+42168), CDCA7L (+360701)
chr7|88	CDCA7L (+110701), DNAH11 (+292168)
chr7|89	CDCA7L (-139299), RAPGEF5 (+271532)
chr7|90	CDCA7L (-389299), RAPGEF5 (+21532)
chr7|91	IL6 (-140502), STEAP1B (-84884)
chr7|93	FAM126A (-71253), KLHL7 (-20402)
chr7|94	MALSU1 (+36182), IGF2BP3 (+135085)
chr7|96	NPY (-448806), STK31 (+125215)
chr7|97	NPY (-198806), STK31 (+375215)
chr7|98	MPP6 (-238084), NPY (+51194)
chr7|99	MPP6 (+11916), DFNA5 (+172731)
chr7|100	DFNA5 (-77269), OSBPL3 (+144806)
chr7|102	NFE2L3 (-816859), NPVF (-106896)
chr7|103	NFE2L3 (-566859), NPVF (-356896)
chr7|104	NPVF (-606896), NFE2L3 (-316859)
chr7|105	NPVF (-856896), NFE2L3 (-66859)
chr7|106	SNX10 (+43458), SKAP2 (+529361)
chr7|107	SKAP2 (+279361), SNX10 (+293458)
chr7|109	SKAP2 (-220639), HOXA1 (+10592)
chr7|110	EVX1 (+92837), HIBADH (+327613)
chr7|111	HIBADH (+77613), EVX1 (+342837)
chr7|113	JAZF1 (+95361), TAX1BP1 (+345193)
chr7|114	JAZF1 (-154639), CREB5 (-77143)
chr7|115	CHN2 (-609027), CREB5 (+172857)
chr7|116	CHN2 (-359027), CREB5 (+422857)
chr7|117	CHN2 (-109027), CREB5 (+672857)
chr7|118	PRR15 (-228426), CPVL (-140109)
chr7|119	WIPF3 (-249340), PRR15 (+21574)
chr7|120	WIPF3 (+660)
chr7|122	ZNRF2 (+51078), NOD1 (+143395)
chr7|124	ENSG00000250424 (-18009), INMT-FAM188B (+83248)
chr7|125	ADCYAP1R1 (+22191), NEUROD6 (+255507)
chr7|126	NEUROD6 (+5507), ADCYAP1R1 (+272191)
chr7|127	NEUROD6 (-244493), PPP1R17 (-101328)
chr7|128	PPP1R17 (+148672), PDE1C (+463940)
chr7|129	PDE1C (+213940), PPP1R17 (+398672)
chr7|130	PDE1C (-36060), LSM5 (+155029)
chr7|134	BMPER (-569522), BBS9 (+205857)
chr7|135	BMPER (-319522), BBS9 (+455857)
chr7|136	BMPER (-69522), BBS9 (+705857)
chr7|137	NPSR1 (-572896), BMPER (+180478)
chr7|138	NPSR1 (-322896), BMPER (+430478)
chr7|140	NPSR1 (+177104), DPY19L1 (+202652)
chr7|141	DPY19L1 (-47348), TBX20 (+168757)
chr7|142	TBX20 (-81243), HERPUD2 (+359744)
chr7|145	EEPD1 (-67757), SEPT7 (+284374)
chr7|147	AOAH (+139152), ANLN (+195586)
chr7|148	AOAH (-110848), ELMO1 (+613851)
chr7|149	AOAH (-360848), ELMO1 (+363851)
chr7|151	ELMO1 (-136149), GPR141 (-98474)
chr7|154	STARD3NL (+157177), AMPH (+296166)
chr7|155	AMPH (+46166), STARD3NL (+407177)
chr7|157	RALA (-538081), POU6F2 (+107403)
chr7|158	RALA (-288081), POU6F2 (+357403)
chr7|162	C7orf10 (+200426)
chr7|163	C7orf10 (+450426)
chr7|164	C7orf10 (+700426), INHBA (+867705)
chr7|165	INHBA (+617705), C7orf10 (+950426)
chr7|166	INHBA (+367705)
chr7|167	INHBA (+117705)
chr7|168	INHBA (-132295), GLI3 (+401611)
chr7|169	INHBA (-382295), GLI3 (+151611)
chr7|170	GLI3 (-98389), ENSG00000256646 (+596772)
chr7|171	GLI3 (-348389), ENSG00000256646 (+346772)
chr7|173	PSMA2 (-153179), HECW1 (-27197)
chr7|174	STK17A (-247663), HECW1 (+222803)
chr7|178	CAMK2B (-9904), NPC1L1 (+205913)
chr7|182	ADCY1 (-239120), RAMP3 (+177611)
chr7|184	IGFBP1 (-52955), ADCY1 (+260880)
chr7|185	IGFBP3 (-164151)
chr7|186	IGFBP3 (-414151)
chr7|187	IGFBP3 (-664151), TNS3 (+954198)
chr7|188	IGFBP3 (-914151), TNS3 (+704198)
chr7|189	TNS3 (+454198)
chr7|190	TNS3 (+204198)
chr7|194	ABCA13 (+163944)
chr7|195	ABCA13 (+413944)
chr7|196	VWC2 (-938256), ABCA13 (+663944)
chr7|197	VWC2 (-688256), ABCA13 (+913944)
chr7|198	VWC2 (-438256)
chr7|199	VWC2 (-188256)
chr7|205	GRB10 (-324951), COBL (+259495)
chr7|207	COBL (-240505)
chr7|208	COBL (-490505)
chr7|209	COBL (-740505)
chr7|210	COBL (-990505)
chr7|211	NONE
chr7|212	NONE
chr7|213	NONE
chr7|214	NONE
chr7|215	VSTM2A (-985017)
chr7|216	VSTM2A (-735017)
chr7|217	VSTM2A (-485017)
chr7|219	VSTM2A (+14983), SEC61G (+202666)
chr7|226	CHCHD2 (-200732), ZNF479 (+832570)
chr7|227	CHCHD2 (-450732), ZNF479 (+582570)
chr7|228	CHCHD2 (-700732), ZNF479 (+332570)
chr7|229	CHCHD2 (-950732), ZNF479 (+82570)
chr7|230	ZNF479 (-167430), ZNF716 (-134882)
chr7|231	ZNF716 (+115118)
chr7|232	ZNF716 (+365118)
chr7|256	ZNF736 (+101815), ZNF680 (+148483)
chr7|286	CALN1 (+502357), WBSCR17 (+777846)
chr7|287	CALN1 (+252357)
chr7|288	CALN1 (+2357)
chr7|320	CD36 (-123890), GNAI1 (+110897)
chr7|327	HGF (-225487), CACNA2D1 (+448113)
chr7|349	ABCB4 (-19946), ABCB1 (+217563)
chr7|354	STEAP4 (-438795), ZNF804B (-13681)
chr7|361	CDK14 (-213711), CLDN12 (+92289)
chr7|376	BET1 (-241314), COL1A2 (-148872)
chr7|377	CASD1 (-14109), COL1A2 (+101128)
chr7|380	PON1 (+79018), PPP1R9A (+338052)
chr7|382	PDK4 (-149198), DYNC1I1 (-26901)
chr7|385	SLC25A13 (-173542), SHFM1 (+214202)
chr7|389	TAC1 (-236219), ACN9 (+379099)
chr7|390	TAC1 (+13781), ASNS (+126853)
chr7|398	CYP3A7 (-42282), CYP3A4 (+6887)
chr7|417	KMT2E (-529625), LHFPL3 (+155897)
chr7|434	THAP5 (-164834), C7orf66 (+149643)
chr7|435	C7orf66 (-100357)
chr7|436	C7orf66 (-350357)
chr7|437	C7orf66 (-600357)
chr7|438	C7orf66 (-850357)
chr7|439	NONE
chr7|440	LRRN3 (-856061)
chr7|441	LRRN3 (-606061)
chr7|442	LRRN3 (-356061)
chr7|443	LRRN3 (-106061)
chr7|446	IMMP2L (-172654), DOCK4 (+471449)
chr7|453	ENSG00000236294 (+33874), PPP1R3A (+434119)
chr7|454	PPP1R3A (+184119), ENSG00000236294 (+283874)
chr7|455	FOXP2 (-430051), PPP1R3A (-65881)
chr7|456	PPP1R3A (-315881), FOXP2 (-180051)
chr7|457	MDFIC (-437208), FOXP2 (+69949)
chr7|458	MDFIC (-187208), FOXP2 (+319949)
chr7|460	MDFIC (+312792), TFEC (+795794)
chr7|461	TFEC (+545794), MDFIC (+562792)
chr7|462	TFEC (+295794), MDFIC (+812792)
chr7|463	TFEC (+45794)
chr7|469	CFTR (+4984), CTTNBP2 (+388560)
chr7|470	CTTNBP2 (+138560), CFTR (+254984)
chr7|471	NAA38 (-199085), CTTNBP2 (-111440)
chr7|473	ANKRD7 (+260271)
chr7|474	ANKRD7 (+510271)
chr7|475	ANKRD7 (+760271)
chr7|476	NONE
chr7|477	KCND2 (-788721)
chr7|478	KCND2 (-538721)
chr7|480	KCND2 (-38721)
chr7|481	KCND2 (+211279), TSPAN12 (+373410)
chr7|486	FAM3C (-338613), PTPRZ1 (-138142)
chr7|487	PTPRZ1 (+111858), AASS (+148875)
chr7|488	AASS (-101125), FEZF1 (+69558)
chr7|489	FEZF1 (-180442), RNF133 (+214209)
chr7|490	RNF148 (-31980), CADPS2 (+151410)
chr7|491	CADPS2 (-98590), TAS2R16 (+10753)
chr7|492	SLC13A1 (-34961), IQUB (+298001)
chr7|496	TMEM229A (-201478), GPR37 (+530680)
chr7|497	TMEM229A (-451478), GPR37 (+280680)
chr7|498	TMEM229A (-701478), GPR37 (+30680)
chr7|500	POT1 (-304966)
chr7|501	POT1 (-554966)
chr7|502	POT1 (-804966)
chr7|503	NONE
chr7|504	NONE
chr7|505	GRM8 (+768347)
chr7|506	GRM8 (+518347)
chr7|507	GRM8 (+268347)
chr7|527	PODXL (-383635), PLXNA4 (+637059)
chr7|530	PLXNA4 (-112941), CHCHD3 (+391841)
chr7|533	LRGUK (-687051), EXOC4 (+187172)
chr7|544	CHRM2 (-678415), MTPN (-212937)
chr7|545	MTPN (-462937), CHRM2 (-428415)
chr7|546	MTPN (-712937), CHRM2 (-178415)
chr7|547	CHRM2 (+71585), PTN (+403610)
chr7|548	PTN (+153610), CHRM2 (+321585)
chr7|549	PTN (-96390), DGKI (+406608)
chr7|550	PTN (-346390), DGKI (+156608)
chr7|567	OR9A4 (+6384), CLEC5A (+21782)
chr7|578	NOBOX (-267681), TPK1 (+158145)
chr7|580	CNTNAP2 (-938452), TPK1 (-341855)
chr7|581	CNTNAP2 (-688452), TPK1 (-591855)
chr7|582	TPK1 (-841855), CNTNAP2 (-438452)
chr7|583	CNTNAP2 (-188452)
chr7|584	CNTNAP2 (+61548)
chr7|585	CNTNAP2 (+311548)
chr7|586	CNTNAP2 (+561548)
chr7|587	CNTNAP2 (+811548)
chr7|588	NONE
chr7|589	NONE
chr7|590	NONE
chr7|591	CUL1 (-771003)
chr7|612	DPP6 (-874764), ACTR3B (+418167)
chr7|614	DPP6 (-374764), ACTR3B (+918167)
chr7|615	DPP6 (-124764)
chr7|616	DPP6 (+125236), PAXIP1 (+919793)
chr7|617	DPP6 (+375236), PAXIP1 (+669793)
chr7|625	SHH (-520034), C7orf13 (+308347)
chr8|49	USP17L2 (-128415), DEFB130 (+50824)
chr8|117	KIF13B (-4411)
chr8|118	DUSP4 (-166816), TMEM66 (+565722)
chr8|242	TOX (-343234), CA8 (+818970)
chr8|244	TOX (-843234), CA8 (+318970)
chr8|250	CLVS1 (+174487), ASPH (+252117)
chr8|252	NKAIN3 (-286500), ASPH (-247883)
chr8|253	ASPH (-497883), NKAIN3 (-36500)
chr8|255	GGH (+326729), NKAIN3 (+463500)
chr8|259	BHLHE22 (-867813), YTHDF3 (+543880)
chr8|260	BHLHE22 (-617813), YTHDF3 (+793880)
chr8|278	PREX2 (+510648)
chr8|279	SULF1 (-753858), PREX2 (+760648)
chr8|280	SULF1 (-503858)
chr8|281	SULF1 (-253858)
chr8|288	XKR9 (+293401), EYA1 (+399466)
chr8|289	EYA1 (+149466), XKR9 (+543401)
chr8|295	TERF1 (-296098), KCNB2 (+175375)
chr8|304	CRISPLD1 (-21749), PI15 (+138229)
chr8|307	ZFHX4 (-968453), HNF4G (+172897)
chr8|308	ZFHX4 (-718453), HNF4G (+422897)
chr8|309	ZFHX4 (-468453), HNF4G (+672897)
chr8|310	ZFHX4 (-218453), HNF4G (+922897)
chr8|311	ZFHX4 (+31547), PEX2 (+288279)
chr8|313	PEX2 (-211721)
chr8|314	PEX2 (-461721)
chr8|315	PKIA (-803373), PEX2 (-711721)
chr8|316	PEX2 (-961721), PKIA (-553373)
chr8|317	PKIA (-303373)
chr8|320	STMN2 (-648386), IL7 (-157243)
chr8|321	IL7 (-407243), STMN2 (-398386)
chr8|322	IL7 (-657243), STMN2 (-148386)
chr8|330	FABP9 (-1187)
chr8|333	SNX16 (-370480)
chr8|334	SNX16 (-620480)
chr8|335	SNX16 (-870480)
chr8|336	NONE
chr8|337	RALYL (-972109)
chr8|338	RALYL (-722109)
chr8|339	RALYL (-472109)
chr8|340	RALYL (-222109)
chr8|341	LRRCC1 (-894381), RALYL (+27891)
chr8|342	LRRCC1 (-644381), RALYL (+277891)
chr8|347	REXO1L11P (-122542), REXO1L1 (-49275)
chr8|352	CNGB3 (-119098)
chr8|353	CNGB3 (-369098)
chr8|354	CNGB3 (-619098), MMP16 (+964716)
chr8|355	CNGB3 (-869098), MMP16 (+714716)
chr8|357	MMP16 (+214716)
chr8|359	MMP16 (-285284)
chr8|361	MMP16 (-785284), RIPK2 (-644974)
chr8|362	RIPK2 (-394974)
chr8|371	SLC26A7 (+363466), RUNX1T1 (+482705)
chr8|372	RUNX1T1 (+232705), SLC26A7 (+613466)
chr8|374	RUNX1T1 (-267295), TRIQK (+603372)
chr8|436	ANGPT1 (-364763), RSPO2 (+220875)
chr8|444	SYBU (-170981), KCNV1 (+113075)
chr8|446	KCNV1 (-386925)
chr8|447	KCNV1 (-636925)
chr8|448	KCNV1 (-886925)
chr8|450	NONE
chr8|451	NONE
chr8|452	NONE
chr8|453	NONE
chr8|454	NONE
chr8|455	CSMD3 (+824327)
chr8|456	CSMD3 (+574327)
chr8|457	CSMD3 (+324327)
chr8|458	CSMD3 (+74327)
chr8|460	CSMD3 (-425673)
chr8|461	CSMD3 (-675673)
chr8|463	NONE
chr8|464	TRPS1 (+806227)
chr8|468	TRPS1 (-193773), EIF3H (+893059)
chr8|469	TRPS1 (-443773), EIF3H (+643059)
chr8|470	TRPS1 (-693773), EIF3H (+393059)
chr8|473	SLC30A8 (-22566), AARD (+174563)
chr8|481	MAL2 (-95609), COLEC10 (+45521)
chr8|489	SNTB1 (-299488), HAS2 (+528629)
chr8|490	SNTB1 (-549488), HAS2 (+278629)
chr8|491	SNTB1 (-799488), HAS2 (+28629)
chr8|492	ZHX2 (-918632), HAS2 (-221371)
chr8|493	ZHX2 (-668632), HAS2 (-471371)
chr8|494	HAS2 (-721371), ZHX2 (-418632)
chr8|500	FER1L6 (+10774), TMEM65 (+509932)
chr8|505	TRIB1 (-317562), NSMCE2 (+20906)
chr8|508	TRIB1 (+432438), FAM84B (+695637)
chr8|510	FAM84B (+195637), TRIB1 (+932438)
chr8|512	POU5F1B (-551534), FAM84B (-304363)
chr8|513	FAM84B (-554363), POU5F1B (-301534)
chr8|514	FAM84B (-804363), POU5F1B (-51534)
chr8|518	TMEM75 (-414410)
chr8|519	TMEM75 (-664410)
chr8|520	TMEM75 (-914410), GSDMC (+924133)
chr8|521	GSDMC (+674133)
chr8|528	ASAP1 (-460784), ADCY8 (+179671)
chr8|529	EFR3A (-791334), ADCY8 (-70329)
chr8|530	EFR3A (-541334), ADCY8 (-320329)
chr8|531	ADCY8 (-570329), EFR3A (-291334)
chr8|541	ST3GAL1 (-540818), ZFAT (+600280)
chr8|542	ST3GAL1 (-790818), ZFAT (+350280)
chr8|545	ZFAT (-399720), KHDRBS3 (-344699)
chr8|546	ZFAT (-649720), KHDRBS3 (-94699)
chr8|547	KHDRBS3 (+155301)
chr8|548	KHDRBS3 (+405301)
chr8|549	KHDRBS3 (+655301)
chr8|550	KHDRBS3 (+905301)
chr8|551	NONE
chr8|552	NONE
chr8|553	NONE
chr8|554	NONE
chr8|555	NONE
chr8|556	NONE
chr8|557	COL22A1 (+801235)
chr8|559	COL22A1 (+301235)
chr8|561	COL22A1 (-198765), KCNK9 (+590298)
chr8|562	COL22A1 (-448765), KCNK9 (+340298)
chr8|572	PTP4A3 (+472908), TSNARE1 (+609542)
chr8|573	TSNARE1 (+359542), PTP4A3 (+722908)
chr8|576	GML (-41216), LY6D (-6993)
chr8|577	LY6E (+25056), LY6H (+117127)
chr9|19	PPAPDC2 (-37297), SLC1A1 (+134557)
chr9|24	ERMP1 (-41884), MLANA (-15801)
chr9|26	UHRF2 (-38322), IL33 (+133319)
chr9|32	C9orf123 (-74934)
chr9|33	C9orf123 (-324934)
chr9|34	C9orf123 (-574934)
chr9|38	PTPRD (+658789)
chr9|41	PTPRD (-91211)
chr9|42	PTPRD (-341211)
chr9|45	NONE
chr9|46	NONE
chr9|47	NONE
chr9|48	TYRP1 (-818434)
chr9|49	TYRP1 (-568434)
chr9|53	MPDZ (+154562), TYRP1 (+431566)
chr9|64	PSIP1 (-363984), BNC2 (+995703)
chr9|70	SH3GL2 (-204120), CNTLN (+240021)
chr9|75	ADAMTSL1 (+151109), FAM154A (+408185)
chr9|156	IGFBPL1 (-450557), CNTNAP3 (+413134)
chr9|177	CNTNAP3B (+440099)
chr9|180	NONE
chr9|189	NONE
chr9|268	NONE
chr9|275	FOXD4L6 (+577203), ANKRD20A1 (+698240)
chr9|277	FOXD4L6 (+77203)
chr9|291	MAMDC2 (-33496), C9orf135 (+189292)
chr9|294	KLF9 (-345461), TRPM3 (+361513)
chr9|296	TRPM3 (-138487), TMEM2 (+508799)
chr9|297	TRPM3 (-388487), TMEM2 (+258799)
chr9|302	ALDH1A1 (+192970), TMC1 (+238284)
chr9|303	ANXA1 (-147569), ALDH1A1 (-57030)
chr9|304	ANXA1 (+102431)
chr9|305	RORB (-987280), ANXA1 (+352431)
chr9|306	RORB (-737280), ANXA1 (+602431)
chr9|307	RORB (-487280), ANXA1 (+852431)
chr9|308	RORB (-237280)
chr9|310	TRPM6 (+128009), RORB (+262720)
chr9|312	PCSK5 (-630559), OSTF1 (+171542)
chr9|313	PCSK5 (-380559), OSTF1 (+421542)
chr9|314	PCSK5 (-130559), OSTF1 (+671542)
chr9|316	RFK (+134420), PCSK5 (+369441)
chr9|318	PRUNE2 (+146002), GCNT1 (+318419)
chr9|325	PSAT1 (+212942)
chr9|326	TLE4 (-811687), PSAT1 (+462942)
chr9|327	TLE4 (-561687), PSAT1 (+712942)
chr9|328	TLE4 (-311687), PSAT1 (+962942)
chr9|330	TLE4 (+188313)
chr9|331	TLE4 (+438313)
chr9|332	TLE4 (+688313)
chr9|333	TLE4 (+938313)
chr9|334	TLE1 (+929219)
chr9|335	TLE1 (+679219)
chr9|336	TLE1 (+429219)
chr9|339	SPATA31D1 (+21314)
chr9|340	SPATA31D1 (+271314), RASEF (+803042)
chr9|341	SPATA31D1 (+521314), RASEF (+553042)
chr9|342	RASEF (+303042), SPATA31D1 (+771314)
chr9|343	RASEF (+53042)
chr9|344	RASEF (-196958), FRMD3 (+278352)
chr9|349	SLC28A3 (-169403), NTRK2 (-158465)
chr9|351	NTRK2 (+341535), AGTPBP1 (+731732)
chr9|352	AGTPBP1 (+481732), NTRK2 (+591535)
chr9|353	AGTPBP1 (+231732), NTRK2 (+841535)
chr9|357	ZCCHC6 (-155674), GAS1 (+437103)
chr9|358	ZCCHC6 (-405674), GAS1 (+187103)
chr9|422	GRIN3A (-874139), CYLC2 (-382592)
chr9|425	SMC2 (-731540), CYLC2 (+367408)
chr9|429	OR13F1 (-141454), SMC2 (+268460)
chr9|430	OR13C2 (-7050), OR13C9 (+5484)
chr9|524	ENSG00000232850 (-15611), SLC25A25 (+44521)
chr9|525	URM1 (-8597), SLC27A4 (+21994)
chr9|530	NTMT1 (+3838), ASB6 (+29443)
chr9|541	NTNG2 (+87667), SETX (+105371)
chr9|544	GTF3C5 (-31390), GFI1B (+54063)
chr10|16	AKR1E2 (-993445), KLF6 (-47534)
chr10|23	CALML3 (+58077), ASB13 (+83540)
chr10|24	FBXO18 (-61348), GDI2 (-19489)
chr10|25	IL2RA (-20713), RBM17 (-6308)
chr10|26	PFKFB3 (+130107), PRKCQ (+247262)
chr10|27	PRKCQ (-2738)
chr10|28	PRKCQ (-252738), SFMBT2 (+576302)
chr10|29	PRKCQ (-502738), SFMBT2 (+326302)
chr10|30	PRKCQ (-752738), SFMBT2 (+76302)
chr10|31	SFMBT2 (-173698), ITIH5 (+83933)
chr10|32	GATA3 (-221655), TAF3 (+14534)
chr10|33	GATA3 (+28345)
chr10|34	GATA3 (+278345)
chr10|35	GATA3 (+528345)
chr10|38	NONE
chr10|40	NONE
chr10|44	CELF2 (-184892)
chr10|45	CELF2 (+65108), USP6NL (+449273)
chr10|46	USP6NL (+199273), CELF2 (+315108)
chr10|47	ECHDC3 (-159364), USP6NL (-50727)
chr10|50	NUDT5 (-136878), CAMK1D (-16480)
chr10|51	CAMK1D (+233520), CCDC3 (+418696)
chr10|52	CCDC3 (+168696), CAMK1D (+483520)
chr10|56	PRPF18 (+246074), FRMD4A (+497882)
chr10|57	FRMD4A (+247882), PRPF18 (+496074)
chr10|58	FRMD4A (-2118)
chr10|59	FRMD4A (-252118), CDNF (+255070)
chr10|62	NMT2 (-164309), FAM171A1 (+38057)
chr10|63	FAM171A1 (-211943), ITGA8 (+137123)
chr10|64	ITGA8 (-112877), FAM188A (+27518)
chr10|65	PTER (-353982), FAM188A (-222482)
chr10|66	FAM188A (-472482), PTER (-103982)
chr10|67	C1QL3 (-60997), RSU1 (+234381)
chr10|68	RSU1 (-15619), CUBN (+296829)
chr10|69	RSU1 (-265619), CUBN (+46829)
chr10|70	VIM (+104743), ST8SIA6 (+121328)
chr10|71	ST8SIA6 (-128672), PTPLA (+34375)
chr10|72	MRC1 (-223351), ENSG00000183748 (+23639)
chr10|73	SLC39A12 (-115767), MRC1 (+26649)
chr10|74	CACNB2 (-54605), SLC39A12 (+134233)
chr10|75	CACNB2 (+195395), NSUN6 (+315550)
chr10|76	NSUN6 (+65550), CACNB2 (+445395)
chr10|77	C10orf112 (-367778), ARL5B (+176667)
chr10|78	C10orf112 (-117778), ARL5B (+426667)
chr10|79	PLXDC2 (-480167), C10orf112 (+132222)
chr10|80	PLXDC2 (-230167), C10orf112 (+382222)
chr10|81	PLXDC2 (+19833)
chr10|82	PLXDC2 (+269833), NEBL (+811530)
chr10|83	PLXDC2 (+519833), NEBL (+561530)
chr10|84	NEBL (+311530), PLXDC2 (+769833)
chr10|85	NEBL (+61530)
chr10|86	NEBL (-188470), SKIDA1 (+439610)
chr10|87	NEBL (-438470), SKIDA1 (+189610)
chr10|89	DNAJC1 (+167653), MLLT10 (+301729)
chr10|91	SPAG6 (-9398), BMI1 (+14861)
chr10|92	PIP4K2A (+128483), SPAG6 (+240602)
chr10|93	MSRB2 (-259434), PIP4K2A (-121517)
chr10|94	PIP4K2A (-371517), MSRB2 (-9434)
chr10|95	OTUD1 (-103197), PTF1A (+143745)
chr10|96	KIAA1217 (-623092), OTUD1 (+146803)
chr10|97	KIAA1217 (-373092), OTUD1 (+396803)
chr10|98	KIAA1217 (-123092), OTUD1 (+646803)
chr10|99	KIAA1217 (+126908), ARHGAP21 (+387596)
chr10|103	MYO3A (-598195), GPR158 (+161010)
chr10|104	MYO3A (-348195), GPR158 (+411010)
chr10|105	MYO3A (-98195), GPR158 (+661010)
chr10|106	GAD2 (-130235), MYO3A (+151805)
chr10|107	APBB1IP (-102131), GAD2 (+119765)
chr10|108	PDSS1 (-111587), APBB1IP (+147869)
chr10|113	MKX (-90012), MPP7 (+444070)
chr10|114	MKX (-340012), MPP7 (+194070)
chr10|117	LYZL1 (-452989), BAMBI (+158730)
chr10|118	LYZL1 (-202989), BAMBI (+408730)
chr10|119	LYZL1 (+47011), SVIL (+399729)
chr10|122	KIAA1462 (-26548), MTPAP (+263247)
chr10|125	LYZL2 (-206310), ZNF438 (+195865)
