# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|114	EYA3 (+40206), XKR8 (+89028)
chr5|463	COMMD10 (+204313), SEMA6A (+285629)
chr5|464	SEMA6A (+35629), COMMD10 (+454313)
chr5|465	SEMA6A (-214371)
chr5|474	TNFAIP8 (-315008)
chr5|475	TNFAIP8 (-65008)
chr5|476	FAM170A (-90292), HSD17B4 (+86736)
chr5|480	FAM170A (+909708)
chr5|486	LOX (+38979), SRFBP1 (+77345)
chr5|489	SNX24 (-56143), SNX2 (+14310)
chr5|490	PPIC (-2565)
chr5|492	CSNK1G3 (+27208)
chr5|496	ZNF608 (+206117)
chr5|497	ZNF608 (-43883)
chr5|498	ZNF608 (-293883)
chr5|503	GRAMD3 (-70823)
chr5|504	ALDH7A1 (+56109), GRAMD3 (+179177)
chr5|505	LMNB1 (+12161), MARCH3 (+241499)
chr5|506	MARCH3 (-8501), C5orf63 (+34183)
chr5|507	MEGF10 (-1550)
chr5|508	CTXN3 (-109735), PRRC1 (+21700)
chr5|510	SLC12A2 (-44457), CTXN3 (+390265)
chr5|512	FBN2 (+119877), SLC12A2 (+455543)
chr5|514	ISOC1 (-55443), SLC27A6 (+74180)
chr5|522	HINT1 (+126177)
chr5|523	CDC42SE2 (+25208), RAPGEF6 (+345803)
chr5|524	RAPGEF6 (+95803), CDC42SE2 (+275208)
chr5|525	RAPGEF6 (-154197), FNIP1 (+7709)
chr5|526	ACSL6 (-27646), IL3 (-21221)
chr5|527	SLC22A4 (-5135), PDLIM4 (+31637)
chr5|528	IRF1 (-48511), IL5 (+4213)
chr5|529	SEPT8 (-11934), SHROOM1 (+41589)
chr5|530	ZCCHC10 (-12705), HSPA4 (-12653)
chr5|531	HSPA4 (+237347), FSTL4 (+323254)
chr5|532	FSTL4 (+73254), HSPA4 (+487347)
chr5|534	TCF7 (-75401), VDAC1 (-34177)
chr5|537	TXNDC15 (-84492), DDX46 (+30507)
chr5|538	PITX1 (-5013), H2AFY (+360311)
chr5|539	PITX1 (-255013), H2AFY (+110311)
chr5|540	NEUROG1 (-3362)
chr5|541	CXCL14 (-210032), SLC25A48 (-45415)
chr5|542	SMAD5 (-93535), TGFBI (+10417)
chr5|547	TRPC7 (-923776), SPOCK1 (+210036)
chr5|548	SPOCK1 (-39964), KLHL3 (+196778)
chr5|549	MYOT (-78479), HNRNPA0 (-34962)
chr5|550	WNT8A (-44773), FAM13B (-6281)
chr5|551	GFRA3 (-14641), CDC25C (+42523)
chr5|553	CTNNA1 (+35889), LRRTM2 (+85978)
chr5|554	LRRTM2 (-164022), SIL1 (+159086)
chr5|558	NRG2 (+47878), PSD2 (+199595)
chr5|559	PFDN1 (+57705), CYSTM1 (+70774)
chr5|560	EIF4EBP3 (-52250), ANKHD1 (+93572)
chr5|561	PCDHA1 (-40875), ZMAT2 (+45082)
chr5|562	PCDHB1 (-55978), PCDHAC2 (+29181)
chr5|563	PCDHB15 (-146)
chr5|564	PCDHGC5 (+6193), DIAPH1 (+123621)
chr5|565	ARAP3 (-63213), PCDH1 (+132974)
chr5|566	GNPDA1 (+17358), RNF14 (+26397)
chr5|567	SPRY4 (+79565), NDFIP1 (+136931)
chr5|568	SPRY4 (-170435), FGF1 (+125906)
chr5|569	FGF1 (-124094), ARHGAP26 (-24948)
chr5|570	ARHGAP26 (+225052), NR3C1 (+408253)
chr5|571	NR3C1 (+158253), ARHGAP26 (+475052)
chr5|572	NR3C1 (-91747), YIPF5 (+675222)
chr5|573	NR3C1 (-341747), YIPF5 (+425222)
chr5|575	KCTD16 (+40161)
chr5|581	PRELID2 (+89866)
chr5|582	SH3RF2 (+57561), LARS (+187222)
chr5|583	POU4F3 (-93586), RBM27 (+41838)
chr5|584	GPR151 (+20752), TCERG1 (+48126)
chr5|588	DPYSL3 (+14618), STK32A (+260475)
chr5|592	FBXO38 (+111436), HTR4 (+158715)
chr5|593	HTR4 (-91285), ADRB2 (-81155)
chr5|594	SH3TC2 (+67686), ADRB2 (+168845)
chr5|595	AFAP1L1 (-26433), ABLIM3 (+103824)
chr5|596	IL17B (-116162), CSNK1A1 (+55526)
chr5|597	PPARGC1B (+15127), PDE6A (+199355)
chr5|598	HMGXB3 (-5280), SLC26A2 (+34701)
chr5|602	ZNF300 (-90456), GPX3 (-25123)
chr5|603	ANXA6 (-87558), GM2A (-7452)
chr5|604	SLC36A1 (+47844), FAT2 (+73504)
chr5|605	SPARC (-58275), G3BP1 (-26470)
chr5|614	FAM114A2 (+43478), GRIA1 (+503269)
chr5|615	SAP30L (-200516), GALNT10 (+54711)
chr5|616	LARP1 (-217461), HAND1 (-17177)
chr5|617	LARP1 (+32539), FAXDC2 (+105465)
chr5|618	KIF4B (-18259), MRPL22 (+54371)
chr5|627	CYFIP2 (-68137), ITK (+17164)
chr5|628	FNDC9 (-102272), NIPAL4 (-12026)
chr5|629	SOX30 (-45573), THG1L (-33204)
chr5|630	CLINT1 (-88850)
chr5|635	EBF1 (-98232), RNF145 (+12060)
chr5|636	ADRA1B (-468789), IL12B (-117106)
chr5|638	TTC1 (-61119), ADRA1B (+31211)
chr5|639	FABP6 (+10627), CCNJL (+114606)
chr5|640	PTTG1 (+26084), ATP10B (+404218)
chr5|652	CCNG1 (+10414), NUDCD2 (+12145)
chr5|672	RARS (-38449), WWC1 (+155846)
chr5|673	PANK3 (-118396), SLIT3 (+603132)
chr5|678	FOXI1 (-157900), DOCK2 (+310750)
chr5|679	FOXI1 (+92100), LCP2 (+100230)
chr5|680	KCNMB1 (-58320), KCNIP1 (-56576)
chr5|684	C5orf50 (-337875), FGF18 (+28341)
chr5|686	FBXW11 (+58643), C5orf50 (+162125)
chr5|718	TBC1D9B (-40142), RNF130 (+124117)
chr5|720	GFPT2 (-94614), CNOT6 (-46432)
chr6|99	KIAA0319 (+21382), ALDH5A1 (+129804)
chr6|140	ANKS1A (+17959), TCP11 (+234423)
chr6|142	FANCE (-45137), PPARD (+64610)
chr6|144	SRPK1 (+14118), LHFPL5 (+101930)
chr6|145	BRPF3 (-39520), MAPK13 (+26903)
chr6|150	FTSJD2 (-25995), RNF8 (+53253)
chr6|155	BTBD9 (-17301), GLO1 (+45916)
chr6|178	RUNX2 (-921105), CDC5L (+19739)
chr6|182	SUPT3H (-29331), CLIC5 (+673131)
chr6|183	SUPT3H (-279331), CLIC5 (+423131)
chr6|184	SUPT3H (-529331), CLIC5 (+173131)
chr6|185	ENPP5 (+13707), ENPP4 (+27271)
chr6|190	TNFRSF21 (-97360), CD2AP (-70524)
chr6|191	GPR111 (+778)
chr6|209	IL17F (-15666), MCM3 (+24634)
chr6|210	TRAM2 (+66712), EFHC1 (+89895)
chr6|211	GSTA2 (+3366), TMEM14A (+89094)
chr6|212	GSTA4 (-14825), ICK (+51599)
chr6|213	GCM1 (-111374), ELOVL5 (+88747)
chr6|214	ELOVL5 (-161253), GCLC (+34926)
chr6|226	COL21A1 (-262457), DST (+132793)
chr6|227	KIAA1586 (-286346), DST (-117207)
chr6|228	DST (-367207), KIAA1586 (-36346)
chr6|229	PRIM2 (-57421), RAB23 (-37923)
chr6|258	PHF3 (+29260)
chr6|283	COL19A1 (+48538), COL9A1 (+387785)
chr6|285	C6orf57 (-151619), COL9A1 (-112215)
chr6|286	SMAP1 (-2478)
chr6|293	KCNQ5 (-206519), RIMS1 (+528274)
chr6|294	KCNQ5 (+43481), KHDC1 (+644937)
chr6|297	DDX43 (+20530), MB21D1 (+36998)
chr6|298	CD109 (-30826), SLC17A5 (-11123)
chr6|305	SENP6 (-186762), TMEM30A (-130317)
chr6|306	MYO6 (-84048), SENP6 (+63238)
chr6|319	IRAK1BP1 (+47812), PHIP (+162952)
chr6|320	PHIP (-87048), HMGN3 (+69405)
chr6|321	HMGN3 (-180595), LCA5 (+122146)
chr6|322	SH3BGRL2 (+34001), ELOVL4 (+282296)
chr6|324	BCKDHB (+58637)
chr6|336	PGM3 (+28632), DOPEY1 (+97616)
chr6|337	PGM3 (-221368), ME1 (+15789)
chr6|338	SNAP91 (+44126), PRSS35 (+152807)
chr6|339	MRAP2 (-118474), CYB5R4 (+55639)
chr6|340	KIAA1009 (+62352), MRAP2 (+131526)
chr6|342	KIAA1009 (-437648), TBX18 (+99236)
chr6|345	TBX18 (-650764), NT5E (-34808)
chr6|346	SYNCRIP (-21998)
chr6|352	SMIM8 (-157305), ZNF292 (+9734)
chr6|353	SLC35A1 (-57694), C6orf163 (+70430)
chr6|354	AKIRIN2 (+36926), ORC3 (+75148)
chr6|360	PM20D2 (+19232), GABRR1 (+52151)
chr6|361	RRAGD (-3012)
chr6|362	LYRM2 (-26529), MDN1 (+154441)
chr6|363	GJA10 (+20813), BACH2 (+381460)
chr6|364	BACH2 (+131460), GJA10 (+270813)
chr6|365	BACH2 (-118540), MAP3K7 (+171763)
chr6|366	MAP3K7 (-78237)
chr6|385	FUT9 (-338859), MANEA (+99582)
chr6|388	UFL1 (-94683), FUT9 (+411141)
chr6|390	NDUFAF4 (-29244), MMS22L (+356051)
chr6|391	NDUFAF4 (-279244), MMS22L (+106051)
chr6|398	FBXL4 (+20801), POU3F2 (+92421)
chr6|400	PNISR (-1817)
chr6|401	PRDM13 (+70395), MCHR2 (+317098)
chr6|404	MCHR2 (-432902), SIM1 (+37804)
chr6|406	GRIK2 (-471663), ASCC3 (-45761)
chr6|422	HACE1 (-67207), LIN28B (-29922)
chr6|423	BVES (-39952), POPDC3 (+2734)
chr6|424	PRDM1 (-659194), PREP (-24042)
chr6|426	PREP (-524042), PRDM1 (-159194)
chr6|427	PRDM1 (+90806), ATG5 (+148665)
chr6|428	ATG5 (-101335), AIM1 (-84729)
chr6|429	C6orf203 (-224406), QRSL1 (+47548)
chr6|430	C6orf203 (+25594), PDSS2 (+405766)
chr6|431	PDSS2 (+155766), C6orf203 (+275594)
chr6|432	SOBP (+63839), SCML4 (+270515)
chr6|433	SCML4 (+20515), SOBP (+313839)
chr6|434	SEC63 (-95608), OSTM1 (+20940)
chr6|435	FOXO3 (-257068), LACE1 (+8903)
chr6|436	FOXO3 (-7068), LACE1 (+258903)
chr6|437	FOXO3 (+242932), SESN1 (+291021)
chr6|438	SESN1 (+41021), FOXO3 (+492932)
chr6|439	ENSG00000272260 (+67137), CD164 (+78646)
chr6|440	ZBTB24 (-70561), AK9 (+137414)
chr6|441	GPR6 (-175297), FIG4 (+112486)
chr6|442	GPR6 (+74703), WASF1 (+126206)
chr6|443	METTL24 (+54474), CDC40 (+123657)
chr6|444	SLC22A16 (-77157), CDK19 (+261518)
chr6|445	SLC22A16 (-327157), CDK19 (+11518)
chr6|446	SLC16A10 (-33780), RPF2 (+71783)
chr6|447	KIAA1919 (+44450), REV3L (+179914)
chr6|448	REV3L (-70086), TRAF3IP2 (+52448)
chr6|449	TRAF3IP2 (-197552), FYN (+69654)
chr6|450	WISP3 (-461)
chr6|451	LAMA4 (-49084), RFPL4B (-43531)
chr6|455	MARCKS (-553540), RFPL4B (+956469)
chr6|456	MARCKS (-303540)
chr6|457	MARCKS (-53540)
chr6|458	HDAC2 (-82552), HS3ST5 (+289208)
chr6|464	FRK (+506920)
chr6|466	FRK (+6920)
chr6|467	DSE (-66520), TSPYL1 (-23935)
chr6|468	RWDD1 (-17529), TRAPPC3L (-8228)
chr6|469	FAM162B (-38115), GPRC6A (+25197)
chr6|472	GOPC (+48526), DCBLD1 (+71181)
chr6|473	SLC35F1 (-103688), NUS1 (+128336)
chr6|476	PLN (+5540), CEP85L (+156237)
chr6|477	CEP85L (-93763), ASF1A (-90383)
chr6|478	MCM9 (-118674), FAM184A (+24907)
chr6|479	FAM184A (-225093), MAN1A1 (+45925)
chr6|480	MAN1A1 (-204075)
chr6|487	TBC1D32 (+30625)
chr6|491	HSF2 (-95690), GJA1 (+868163)
chr6|492	SERINC1 (+32268), HSF2 (+154310)
chr6|493	CLVS2 (-192115), SMPDL3A (+14686)
chr6|502	TPD52L1 (-99801), RNF217 (+70487)
chr6|503	HDDC2 (-1719)
chr6|504	HDDC2 (-251719), HEY2 (-195725)
chr6|505	HINT3 (-152926), NCOA7 (+22694)
chr6|506	CENPW (-286319), TRMT11 (+67425)
chr6|507	CENPW (-36319), TRMT11 (+317425)
chr6|511	RNF146 (+37246), ECHDC1 (+39019)
chr6|520	ARHGAP18 (+156369), LAMA2 (+670659)
chr6|521	ARHGAP18 (-93631), TMEM244 (+57691)
chr6|522	L3MBTL3 (+40157), SAMD3 (+311569)
chr6|526	EPB41L2 (+9461), SMLR1 (+226455)
chr6|527	ARG1 (-269364), AKAP7 (+168195)
chr6|528	ARG1 (-19364), AKAP7 (+418195)
chr6|533	RPS12 (-10579), SLC18B1 (-5309)
chr6|535	TCF21 (-585275), EYA4 (+62512)
chr6|537	TCF21 (-85275), EYA4 (+562512)
chr6|538	SLC2A12 (-1227)
chr6|539	SLC2A12 (-251227), SGK1 (+14195)
chr6|540	SGK1 (-235805), ALDH8A1 (+396259)
chr6|543	MYB (+122548), AHI1 (+193882)
chr6|544	PDE7B (-297833), AHI1 (-56118)
chr6|547	BCLAF1 (-14012), MAP7 (+222609)
chr6|548	MAP7 (-27391), MAP3K5 (+238655)
chr6|549	PEX7 (-18722), MAP3K5 (-11345)
chr6|555	HEBP2 (-100355), PBOV1 (-85374)
chr6|557	ECT2L (+7938), REPS1 (+184397)
chr6|558	HECA (-81248), REPS1 (-65603)
chr6|570	NMBR (+34935)
chr6|574	HIVEP2 (-108663), AIG1 (-7012)
chr6|577	LTV1 (-39480), PHACTR2 (+125899)
chr6|578	PLAGL1 (-84886), SF3B5 (+41753)
chr6|591	STXBP5 (+99332)
chr6|595	UST (-443463)
chr6|597	TAB2 (-517187), UST (+56537)
chr6|599	TAB2 (-17187), UST (+556537)
chr6|601	PCMT1 (+54422), LRP11 (+60161)
chr6|605	MTHFD1L (-61684), PLEKHG1 (+204002)
chr6|607	AKAP12 (+63867), ZBTB2 (+87682)
chr6|608	ESR1 (-136630), RMND1 (-101742)
chr7|146	ANLN (-54414), EEPD1 (+182243)
chr7|160	CDK13 (-114635), RALA (+211919)
chr7|176	MRPS24 (+34155), BLVRA (+76715)
chr7|179	TMED4 (-3143)
chr7|180	H2AFV (+12661), PPIA (+38722)
chr7|181	NACAD (+3512), CCM2 (+58376)
chr7|225	SUMF2 (-6947), CCT6A (+5678)
chr7|261	VKORC1L1 (-213253), ZNF92 (+286289)
chr7|262	VKORC1L1 (+36747), GUSB (+72300)
chr7|263	TPST1 (-45185), CRCP (+45409)
chr7|264	KCTD7 (-330642), TPST1 (+204815)
chr7|265	KCTD7 (-80642), TPST1 (+454815)
chr7|266	TMEM248 (-11211), RABGEF1 (+169281)
chr7|267	TYW1 (+163199)
chr7|268	TYW1 (+413199)
chr7|289	CALN1 (-247643), POM121 (-224935)
chr7|292	FZD9 (+26892), BAZ1B (+61601)
chr7|293	STX1A (+8987), WBSCR22 (+27045)
chr7|294	ELN (-67118), WBSCR28 (+99512)
chr7|303	STYXL1 (+52320), POR (+80604)
chr7|304	HSPB1 (-56860), MDH2 (+197616)
chr7|305	UPK3B (-14744), DTX2 (+33983)
chr7|308	FGL2 (-45858), GSAP (+170716)
chr7|309	GSAP (-79284), PTPN12 (-41591)
chr7|310	RSBN1L (+49241), TMEM60 (+52896)
chr7|348	CROT (-99996), TMEM243 (-25098)
chr7|351	ADAM22 (+61299), SRI (+224393)
chr7|367	AKAP9 (+54820), CYP51A1 (+138843)
chr7|368	ANKIB1 (-547), KRIT1 (+413)
chr7|369	ERVW-1 (-24382), PEX1 (+32844)
chr7|370	CDK6 (+88230), RBM48 (+216914)
chr7|371	CDK6 (-161770), SAMD9 (+122335)
chr7|384	SLC25A13 (+76458), DYNC1I1 (+473099)
chr7|386	DLX6 (-259859), SHFM1 (-35798)
chr7|391	LMTK2 (-111196), OCM2 (-5493)
chr7|392	TECPR1 (+6562), BHLHA15 (+33435)
chr7|393	NPTX2 (-121608), BAIAP2L1 (-94621)
chr7|394	TMEM130 (+92488), NPTX2 (+128392)
chr7|396	KPNA7 (-69872), ARPC1A (-48532)
chr7|407	SH2B2 (-303404), CUX1 (+165710)
chr7|411	ARMC10 (-90327), LRRC17 (+71563)
chr7|412	NAPEPLD (-85372), PMPCB (-62868)
chr7|413	SLC26A5 (-38377), RELN (+504962)
chr7|416	LHFPL3 (-94103), ORC5 (-26506)
chr7|419	KMT2E (-29625), LHFPL3 (+655897)
chr7|420	SRPK2 (+154340), KMT2E (+220375)
chr7|421	SRPK2 (-95660), PUS7 (+37704)
chr7|423	CDHR3 (+21316), SYPL1 (+128021)
chr7|424	SYPL1 (-121979), NAMPT (+50637)
chr7|426	NAMPT (-449363), PIK3CG (-130923)
chr7|427	PRKAR2B (-60093), PIK3CG (+119077)
chr7|428	GPR22 (-235504), HBP1 (+65541)
chr7|429	DUS4L (-79402), GPR22 (+14496)
chr7|430	CBLL1 (-9141), SLC26A4 (+73921)
chr7|431	LAMB1 (+18699), DLD (+93586)
chr7|432	LAMB4 (-104200), NRCAM (+221825)
chr7|433	NRCAM (-28175), PNPLA8 (+41637)
chr7|445	IMMP2L (+77346), LRRN3 (+393939)
chr7|448	IFRD1 (-215482), ZNF277 (+28358)
chr7|449	LSMEM1 (+3955), TMEM168 (+305646)
chr7|450	TMEM168 (+55646), LSMEM1 (+253955)
chr7|452	ENSG00000236294 (-216126), ENSG00000214194 (-116333)
chr7|465	CAV2 (-14443), TES (+274454)
chr7|466	CAPZA2 (-127526), MET (+62542)
chr7|467	ST7 (+31620), WNT2 (+338342)
chr7|468	WNT2 (+88342), ST7 (+281620)
chr7|472	ANKRD7 (+10271)
chr7|485	PTPRZ1 (-388142), FAM3C (-88613)
chr7|493	SLC13A1 (-284961), IQUB (+48001)
chr7|494	WASL (+14120), LMOD2 (+79140)
chr7|499	POT1 (-54966)
chr7|509	ZNF800 (-92256), GCC1 (+100660)
chr7|510	SND1 (+82767), LRRC4 (+296122)
chr7|511	LRRC4 (+46122), SND1 (+332767)
chr7|512	LRRC4 (-203878), LEP (-6336)
chr7|513	CALU (-254345), METTL2B (+8218)
chr7|514	CALU (-4345)
chr7|515	IRF5 (+47007), TNPO3 (+69967)
chr7|516	STRIP2 (-199273), AHCYL2 (+10137)
chr7|517	NRF1 (-126554), STRIP2 (+50727)
chr7|518	NRF1 (+123446), UBE2H (+217788)
chr7|520	CPA2 (-31666), SSMEM1 (+27301)
chr7|521	CEP41 (-43923), MEST (-6933)
chr7|522	COPG2 (-21403), KLF14 (+43887)
chr7|523	MKLN1 (-387618), KLF14 (-206113)
chr7|524	KLF14 (-456113), MKLN1 (-137618)
chr7|525	MKLN1 (+112382), PODXL (+116365)
chr7|532	CHCHD3 (-108159), EXOC4 (-62828)
chr7|537	SLC35B4 (-123198), AKR1B1 (+18893)
chr7|538	CALD1 (-89400), BPGM (+43418)
chr7|539	AGBL3 (-46258), CALD1 (+160600)
chr7|540	STRA8 (-41730), C7orf49 (-19554)
chr7|541	CNOT4 (+69874), STRA8 (+208270)
chr7|542	C7orf73 (+27732), SLC13A4 (+37933)
chr7|543	FAM180A (-191407), MTPN (+37063)
chr7|551	DGKI (-93392), CREB3L2 (+61802)
chr7|553	TRIM24 (-20078), AKR1D1 (+363778)
chr7|554	TMEM213 (-107696), SVOPL (-11177)
chr7|555	ATP6V0A4 (-142060), KIAA1549 (+41063)
chr7|556	UBN2 (-41230), TTC26 (+56477)
chr7|557	KLRG2 (+43457), C7orf55-LUC7L2 (+80347)
chr7|558	HIPK2 (+102516), CLEC2L (+166399)
chr7|559	TBXAS1 (+96049), PARP12 (+138520)
chr7|560	PARP12 (-111480), JHDM1D (+1834)
chr7|561	RAB19 (+21158), MKRN1 (+54368)
chr7|562	NDUFB2 (-21470), ADCK2 (+2048)
chr7|563	BRAF (-437)
chr7|564	AGK (-375988), TMEM178B (+100969)
chr7|566	WEE2 (-33152), AGK (+124012)
chr7|571	TRPV6 (-41494), TRPV5 (+5904)
chr7|572	TAS2R39 (-5511), PIP (+45831)
chr7|573	EPHA1 (-19016), TAS2R60 (-15545)
chr7|575	CTAGE6 (-170212), OR2F2 (-7258)
chr7|594	CUL1 (-21003)
chr7|595	EZH2 (-43631), PDIA4 (+100732)
chr7|596	ZNF282 (-17576), ZNF398 (+30433)
chr7|597	ZNF777 (+33213), ZNF783 (+165739)
chr7|598	ZNF746 (-180103), KRBA1 (-37147)
chr7|599	ATP6V0E2 (+54944), ACTR3C (+395757)
chr7|601	GIMAP8 (-22717), ZNF775 (+48577)
chr7|602	GIMAP6 (-45528), GIMAP2 (-7787)
chr7|606	RHEB (-157991), PRKAG2 (+199209)
chr7|607	PRKAG2 (-50791), GALNTL5 (-28479)
chr7|609	KMT2C (+8089), GALNT11 (+353618)
chr7|610	XRCC2 (-1751)
chr7|620	INSIG1 (-214485), HTR5A (+12967)
chr7|621	EN2 (-125823), INSIG1 (+35515)
chr7|622	RBM33 (-62372), EN2 (+124177)
chr7|626	SHH (-770034), C7orf13 (+58347)
chr7|627	LMBR1 (+60923), RNF32 (+191523)
chr7|629	DNAJB6 (-4659)
chr7|634	PTPRN2 (+5370)
chr7|635	ESYT2 (-2682)
chr8|123	GSR (-39558), PPP2CB (+45387)
chr8|134	MAK16 (+32733), RNF122 (+49642)
chr8|151	GPR124 (-29773), PROSC (+4890)
chr8|153	PPAPDC1B (+1737), DDHD2 (+36140)
chr8|156	ADAM32 (-90167), ADAM9 (+20496)
chr8|166	GINS4 (-11724), GOLGA7 (+26828)
chr8|168	ANK1 (-120721), KAT6A (+34504)
chr8|170	SMIM19 (-21297), VDAC3 (+125580)
chr8|171	CHRNA6 (-1072)
chr8|172	FNTA (-36295), ENSG00000254673 (+1434)
chr8|193	SPIDR (-48166)
chr8|195	CEBPD (+26647), SPIDR (+451834)
chr8|196	PRKDC (-2258), MCM4 (+1505)
chr8|199	EFCAB1 (+22790), UBE2V2 (+704041)
chr8|212	PCMTD1 (-63343), ST18 (+447302)
chr8|214	ST18 (-52698), FAM150A (+103066)
chr8|215	FAM150A (-146934), RB1CC1 (+1991)
chr8|218	OPRK1 (-210744), ATP6V1H (+380821)
chr8|219	OPRK1 (-460744), ATP6V1H (+130821)
chr8|220	TCEA1 (+60088), RGS20 (+110633)
chr8|221	SOX17 (-245494), MRPL15 (+77231)
chr8|226	TGS1 (-310700), XKR4 (+360052)
chr8|227	TGS1 (-60700), XKR4 (+610052)
chr8|228	LYN (+82629), RPS20 (+112067)
chr8|229	PLAG1 (-1163), CHCHD7 (+686)
chr8|232	PENK (-516412), IMPAD1 (+31402)
chr8|238	CYP7A1 (+37794), UBXN2B (+51178)
chr8|239	NSMAF (-52908), TOX (+406766)
chr8|246	CA8 (-181030), RAB2A (-54415)
chr8|248	CLVS1 (-325513), CHD7 (+283664)
chr8|251	ASPH (+2117), CLVS1 (+424487)
chr8|256	GGH (+76729), NKAIN3 (+713500)
chr8|257	YTHDF3 (+43880)
chr8|266	CYP7B1 (-663683), ARMC1 (+171441)
chr8|267	MTFR1 (+68027), PDE7A (+129186)
chr8|268	PDE7A (-120814), DNAJC5B (-58794)
chr8|269	RRS1 (-216262), CRH (-34041)
chr8|270	ADHFE1 (+30280), MYBL1 (+150483)
chr8|271	SGK3 (-62461), C8orf44-SGK3 (+45150)
chr8|272	TCF24 (-176)
chr8|274	ARFGEF1 (-119089), CPA6 (+283579)
chr8|275	ARFGEF1 (-369089), CPA6 (+33579)
chr8|283	SLCO5A1 (+122298), SULF1 (+246142)
chr8|284	SLCO5A1 (-127702), PRDM14 (+108561)
chr8|286	NCOA2 (-58961), TRAM1 (+145603)
chr8|287	XKR9 (+43401), EYA1 (+649466)
chr8|293	KCNB2 (-324625), TRPA1 (-137149)
chr8|296	TERF1 (-46098), KCNB2 (+425375)
chr8|297	SBSPON (-119494), RPL7 (+81132)
chr8|298	RDH10 (+168154), STAU2 (+284171)
chr8|299	STAU2 (+34171), RDH10 (+418154)
chr8|300	UBE2W (-83857), TCEB1 (+9521)
chr8|301	JPH1 (+108562), LY96 (+221414)
chr8|302	PI15 (-361771), GDAP1 (+112384)
chr8|306	HNF4G (-77103), CRISPLD1 (+478251)
chr8|312	PEX2 (+38279), ZFHX4 (+281547)
chr8|323	HEY1 (+55091), STMN2 (+101614)
chr8|324	HEY1 (-194909), MRPS28 (+67505)
chr8|325	ZBTB10 (-272901), TPD52 (-131950)
chr8|326	TPD52 (-381950), ZBTB10 (-22901)
chr8|327	ZNF704 (+162015), ZBTB10 (+227099)
chr8|328	ZNF704 (-87985), PAG1 (+149302)
chr8|329	PAG1 (-100698), FABP5 (-67597)
chr8|331	SLC10A5 (-16592), ZFAND1 (+8534)
chr8|332	SNX16 (-120480)
chr8|345	CA13 (-32755), E2F5 (+35379)
chr8|350	WWP1 (+20034), RMDN1 (+146008)
chr8|351	CPNE3 (+98345), CNGB3 (+130902)
chr8|364	OSGIN2 (-39761), RIPK2 (+105026)
chr8|368	NECAB1 (+71223), TMEM55A (+178291)
chr8|369	SLC26A7 (-136534), OTUD6B (+42577)
chr8|380	PDP1 (-54174), TMEM67 (+107916)
chr8|383	KIAA1429 (-59250), ESRP1 (-28356)
chr8|384	CCNE2 (+33905), INTS8 (+39474)
chr8|385	PLEKHF2 (-21031), NDUFAF6 (+87787)
chr8|386	C8orf37 (-93572), GDF6 (+798019)
chr8|388	C8orf37 (-593572), GDF6 (+298019)
chr8|389	C8orf37 (-843572), GDF6 (+48019)
chr8|390	SDC2 (-130578), PTDSS1 (+101058)
chr8|391	CPQ (-32454), SDC2 (+119422)
chr8|395	TSPYL5 (-334825), MTDH (-31406)
chr8|396	MATN2 (-25204), LAPTM4B (+87716)
chr8|397	POP1 (-4539), HRSP12 (+4468)
chr8|417	BAALC (-27937), ATP6V1C1 (+91710)
chr8|418	CTHRC1 (-8742), FZD6 (+63942)
chr8|431	ABRA (+157472), OXR1 (+164849)
chr8|438	EIF3E (-114007), EMC2 (-80852)
chr8|443	EBAG9 (+72595), SYBU (+79019)
chr8|471	TRPS1 (-943773), EIF3H (+143059)
chr8|472	RAD21 (+12104), UTP23 (+96259)
chr8|475	MED30 (+92049), EXT1 (+499091)
chr8|477	EXT1 (-909)
chr8|484	DEPTOR (-10956), DSCC1 (-6751)
chr8|486	MRPL13 (+82625), COL14A1 (+237654)
chr8|496	ZHX2 (+81368), DERL1 (+179662)
chr8|497	TBC1D31 (+40081), ZHX1 (+161734)
chr8|498	ZHX1 (-88266), ATAD2 (+33704)
chr8|525	FAM49B (-172923), ASAP1 (+289216)
chr8|567	AGO2 (+20717), CHRAC1 (+103604)
chr8|585	COMMD5 (-45880), ZNF250 (+1845)
chr9|151	FRMPD1 (-43001), TOMM5 (-32408)
chr9|152	SLC25A51 (+29106), DCAF10 (+74502)
chr9|153	ALDH1B1 (-267660), SHB (-55793)
chr9|292	SMC5 (+1064), KLF9 (+154539)
chr9|293	KLF9 (-95461), TRPM3 (+611513)
chr9|311	TRPM6 (-121991), NMRK1 (+78124)
chr9|324	PSAT1 (-37058), CEP78 (+23878)
chr9|346	UBQLN1 (-51883), GKAP1 (+57656)
chr9|347	RMI1 (+29288), SLC28A3 (+330597)
chr9|348	SLC28A3 (+80597), RMI1 (+279288)
chr9|354	NAA35 (-181060), AGTPBP1 (-18268)
chr9|355	NAA35 (+68940), GOLM1 (+89472)
chr9|356	GOLM1 (-160528), ISCA1 (+22443)
chr9|361	CTSL (-215433), DAPK1 (+12205)
chr9|362	SPATA31E1 (-122740), CTSL (+34567)
chr9|363	SPIN1 (-378333), CDK20 (-35334)
chr9|365	C9orf47 (-480842), SPIN1 (+121667)
chr9|368	SHC3 (-81319), CKS2 (-51112)
